target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
ABC_tran	PF00005.27	137	ANFEHAOB_00001	-	264	5.400000000000001e-26	91.7	0.0	1	1	5.7e-29	7.8e-26	91.2	0.0	1	137	22	177	22	177	0.93
SMC_N	PF02463.19	220	ANFEHAOB_00001	-	264	1.8e-08	34.1	0.1	1	1	1.2e-09	1.6e-06	27.7	0.1	25	201	33	212	20	228	0.61
AAA_21	PF13304.6	303	ANFEHAOB_00001	-	264	1e-07	32.1	0.1	1	2	1.6e-05	0.023	14.5	0.0	2	21	35	54	34	79	0.82
AAA_21	PF13304.6	303	ANFEHAOB_00001	-	264	1e-07	32.1	0.1	2	2	7.1e-06	0.0098	15.7	0.0	234	298	146	208	109	210	0.8
MMR_HSR1	PF01926.23	114	ANFEHAOB_00001	-	264	0.0008699999999999999	19.4	0.0	1	1	1.2e-06	0.0017	18.4	0.0	2	45	35	81	34	192	0.83
AAA_29	PF13555.6	61	ANFEHAOB_00001	-	264	0.0009699999999999999	18.8	0.1	1	1	2e-06	0.0028	17.4	0.1	17	42	27	52	20	55	0.81
ABC_ATPase	PF09818.9	448	ANFEHAOB_00001	-	264	0.0024	16.7	1.6	1	2	0.00055	0.76	8.5	0.0	234	265	19	53	3	56	0.75
ABC_ATPase	PF09818.9	448	ANFEHAOB_00001	-	264	0.0024	16.7	1.6	2	2	0.0035	4.8	5.9	0.3	324	413	150	224	147	238	0.66
Dynamin_N	PF00350.23	168	ANFEHAOB_00001	-	264	0.0044	17.1	0.0	1	1	5.0999999999999995e-06	0.0071	16.4	0.0	1	21	35	55	35	75	0.88
RsgA_GTPase	PF03193.16	167	ANFEHAOB_00001	-	264	0.0048	16.8	0.0	1	1	6.7e-06	0.0092	15.9	0.0	98	130	31	63	16	70	0.84
AAA_27	PF13514.6	207	ANFEHAOB_00001	-	264	0.012	15.2	0.0	1	1	1.4000000000000001e-05	0.019	14.5	0.0	18	47	26	53	21	56	0.82
